lat,lon,type,runner,pedestrian,bike,transport,public transport
55.7446716,37.600837,metro,,,,,
55.7485915,37.5868389,metro,,,,,
55.7414167,37.6234411,metro,,,,,
55.7414167,37.6234411,metro,,,,,
55.7382506,37.614655,metro,,,,,
55.746818,37.614127,bus station,,16,,,
55.743756,37.613911,bus station,3,17,,,
55.744091,37.615399,bus station,4,18,,,
55.7457345,37.6119975,bus station,6,16,,,
55.745133,37.617519,park,50,50,10,,
55.744436,37.613282,supermarket,4,70,3,,
55.740874,37.610439,supermarket ,9,30,5,,
55.744926,37.615143,cafe,6,10,3,,
55.74318,37.614135,cafe,4,15,5,,
55.740066,37.609065,cafe,8,20,1,,
55.740066,37.609065,cafe,7,10,4,,
55.745023,37.611125,theater,18,5,2,,
55.744408,37.611989,house on the embankment ,1,5,10,,
55.743724,37.610079,Cultural Research Institute ,38,30,8,,
55.742469,37.609339,Strelka ,38,60,15,,
55.740831,37.610127,MHPI(Moscow Art and Industry Institute) ,28,35,13,,
55.739758,37.610159,photo centre ,35,1,2,,
55.734783,37.607755,Muzeon park ,50,300,20,,
55.745038,37.611154,parking,12,15,5,3,
55.745217,37.612554,parking,1,20,2,4,
55.7398069,37.6093627,club,40,10,,,
55.7404029,37.609393,club,26,10,,,
55.7444767,37.6091592,red square,4,500,30,,
55.7452064,37.6145551,church,12,30,5,,
55.7452064,37.6145551,museum,20,80,15,,
55.7409646,37.6100532,house ,6,30,5,,
55.745332,37.613885,parking,2,5,2,7,
55.744273,37.610049,parking,38,7,5,2,
55.742944,37.61434,parking,28,8,6,2,
55.741332,37.611827,parking,19,4,2,3,
55.741907,37.614413,parking,50,16,,5,
55.742361,37.616441,parking,38,25,3,9,
55.740146,37.615657,parking,14,20,1,1,
55.741562,37.619321,velobike,,30,5,,
55.7447131,37.5992101,velobike,7,18,10,,
55.742242,37.619221,velobike,7,14,12,,
55.741704,37.61744,velobike,14,8,5,,
55.741292,37.622847,velobike,4,15,16,,
55.744542,37.624366,velobike,,8,10,,
55.744887,37.609528,velobike,,6,8,,
55.744887,37.609528,velobike,17,14,6,,
55.746037,37.60824,velobike,26,9,8,,
55.746194,37.60485,velobike,,12,5,,
55.748128,37.632933,velobike,,6,8,,
55.749544,37.633399,velobike,37.610127,7,4,,
55.743895,37.615563,velobike,,9,6,,
55.74879,37.610298,theoretic car waypoint,,,,900,7
55.740502,37.616575,theoretic car waypoint,,,,2050,8
