date,followers,username,tweet,lat,lon
Sat Jul 09 10:50:27 PDT 2016,388,Tasha Sokolova,Вот и встреча выпускников #ВШЭ #Вышка #медиаком #hse @ Квартира 44 https://t.co/8Oc8U4GAQf,55.73753,37.61695
Sat Jul 09 11:24:21 PDT 2016,7,elen_vy,I'm at Императорский яхт-клуб in Москва, Россия https://t.co/s8O9ZKoYBp,55.739193,37.609447
Sat Jul 09 05:27:40 PDT 2016,39,Vladislav,Вечериним💃🏽👯 @ Императорский Яхт-Клуб https://t.co/4I36XNFgv8,55.739178,37.609108
Sun Jul 03 19:15:42 PDT 2016,388,Аш 23,Вот так вот! djcarrot заноси капусту сука в организацию!!!! @ Garage Club / Клуб Гараж https://t.co/1aPM4EVKHh,55.737156,37.6167
Sun Jul 03 13:45:36 PDT 2016,61,Dmitry Konchakov,#паркфили #закат @ Парк Фили https://t.co/TrmRAxASOX,55.73643,37.612522
Tue Jul 12 10:39:05 PDT 2016,153,Марина Евстифеева,I'm at Большой Каменный мост in Москва https://t.co/VGwG89UjYy,55.74668,37.612293
Tue Jul 12 08:47:27 PDT 2016,703,go_berserk,I'm at Патриарший мост in Москва https://t.co/4KUAsNP8jI,55.743443,37.60854
Mon Jul 11 17:59:57 PDT 2016,15,Anton,#moscow #отпуск #авыработайтеработайте @ Мост Храм Христа Спасителя https://t.co/3lHOH0sPCg,55.743477,37.608208
Mon Jul 11 14:23:45 PDT 2016,33,mafuyu,Красота😍 @ Мост Храм Христа Спасителя https://t.co/2YPqQ7iFVm,55.743477,37.608208
Mon Jul 11 08:44:10 PDT 2016,537,Maxim Melnikow,Москалик повернувся додому і жадає зустрічей ))) @ Лужков мост https://t.co/7XaI5klEGN,55.744534,37.618057
Sun Jul 10 10:17:10 PDT 2016,0,Алексей Егоров,Just posted a photo @ Мост Храм Христа Спасителя https://t.co/1hF1uFVcna,55.743477,37.608208
Sun Jul 10 10:00:41 PDT 2016,171,а с я,I'm at Патриарший мост in Москва w/ @_krvchnko https://t.co/qax7DJwuJU,55.743443,37.60854
Sun Jul 10 07:15:11 PDT 2016,805,Кокаин,I'm at Патриарший мост in Москва https://t.co/N9k0I1Sxys,55.743443,37.60854
Sun Jul 10 05:56:12 PDT 2016,26,Raisa Braga,Это словно сон, самый лучший сон... Один миг с тобой чего только стоит... 🚢🌆🌉 @ Мост Храм Христа… https://t.co/gykmdiUCFQ,55.743477,37.608208
Sat Jul 09 08:55:50 PDT 2016,163,лизосома|チャンピオン,Just posted a photo @ Мост Храм Христа Спасителя https://t.co/z2DypTU6Gg,55.743477,37.608208
Fri Jul 08 10:54:50 PDT 2016,234,Юнус Кадыров,Just posted a photo @ Лужков мост https://t.co/njOWY8RqnO,55.744534,37.618057
Fri Jul 08 10:41:00 PDT 2016,234,Юнус Кадыров,Наконец-то за эти несколько дней выбрался нормально погулять. @ Лужков мост https://t.co/Sxtpc82R44,55.744534,37.618057
Wed Jul 06 09:18:45 PDT 2016,202,81,I'm at Патриарший мост in Москва https://t.co/9ZTVoHnHky https://t.co/H9z3vIA8Sz,55.743443,37.60854
Wed Jul 06 07:17:47 PDT 2016,155,чеширская кошечка,"Прогулялись" по Москве-реке) @ Мост Храм Христа Спасителя https://t.co/trefTwWG8Y,55.743477,37.608208
Wed Jul 06 07:15:25 PDT 2016,142,barhatov.com,I'm at Большой Каменный мост in Москва https://t.co/N1DoEoL5yR,55.74668,37.612293
Wed Jul 06 06:30:20 PDT 2016,230,anastasia skull,I'm at Причал «Театр Эстрады» / «Большой Каменный мост» in Москва https://t.co/AbOp9EtFHc,55.745163,37.61059
Wed Jul 06 06:02:50 PDT 2016,3,Alena Pinevskaya,#Moscow #centre #walk #evening #bridge #Москва #центр #патриаршиймост #вечер #мост @ Patriarshy… https://t.co/G7lKeJ3bM4,55.743332,37.60889
Wed Jul 06 00:41:13 PDT 2016,323,Ekaterina,Опять перекрыли - уроды🚨🚔 (@ Большой Каменный мост in Москва) https://t.co/BxKUCttXVs,55.74668,37.612293
