date,followers,username,tweet,lat,lon
Tue Jul 12 11:44:09 PDT 2016,4897,Антон Егоров,Осваиваю новые места в новом районе проживания :) #железнодорожный, #балашиха, #бег, #ялюблюбег… https://t.co/s4QBbVWJCe,55.752495,38.02595
Tue Jul 12 01:10:34 PDT 2016,1247,Роман Павловский,Бегайте по утрам или вечерам, это полезно!) #бег #run #running #зож #лифтолук #бегполезен… https://t.co/svNRW4c6DM,55.7522,37.6156
Mon Jul 11 01:45:58 PDT 2016,4803,kormeev,#кормеев365 2️⃣5️⃣5️⃣ Когда твоё утро начинается загородом 😉☀️🌤 Дышится и бежится совсем по-другому 💫 #бег #утро https://t.co/lIebgc3Ezz,55.69401,37.208557
Sun Jul 10 12:12:40 PDT 2016,359,Виктория Черепанова,Облака утром были потрясающие #бег #зож #nikerunning #лето @ Олимпийский Проспект https://t.co/L32lR0utwE,55.784195,37.623962
Sat Jul 09 03:56:15 PDT 2016,111,Vladimir Beroev,#db_побегушки 600-ая пробежка. Бег. 6,06 км. 37,42 мин. 09. 07. 2016. Суббота. И вот уже… https://t.co/lj1SaK7AcL,56.1667,37.5167
Thu Jul 07 02:37:25 PDT 2016,111,Vladimir Beroev,#db_побегушки 599-ая пробежка. Бег. 6,16 км. 36,04 мин. 07. 07. 2016. Четверг. Ничего сегодня не… https://t.co/ByE5K44Dyn,55.77722,37.789444
Wed Jul 06 20:53:51 PDT 2016,2017,Лукьянов Евгений А.,Возвращение блудного попугая 😁 Бег. 12.6 км. #спортнужнонетолькосмотреть  #яworldclass https://t.co/DFsnEOw6Ky https://t.co/KDtAGuEpuB,55.739407,37.411705
Wed Jul 06 13:17:11 PDT 2016,7,Никитин Тимур,#adidasrunhigh #adidasrunning #adidas #run #бег #runner #ощутисвойподъем #loverun @ Крылатские… https://t.co/NAIYZSiwpz,55.756687,37.41862
Wed Jul 06 13:16:19 PDT 2016,7,Никитин Тимур,#adidasrunhigh #adidasrunning #adidas #run #бег #runner #ощутисвойподъем @ Крылатские Холмы https://t.co/BA6k5JCUxU,55.756687,37.41862
Wed Jul 06 13:15:45 PDT 2016,7,Никитин Тимур,#adidasrunhigh #adidasrunning #adidas #run #бег #runner #ощутисвойподъем @ Крылатские Холмы https://t.co/YeeitfYB9K,55.756687,37.41862
Wed Jul 06 13:15:07 PDT 2016,7,Никитин Тимур,#adidasrunhigh #adidasrunning #adidas #run #бег #runner #ощутисвойподъем @ Крылатские Холмы https://t.co/7Pb5W3U6FQ,55.756687,37.41862
Wed Jul 06 13:14:32 PDT 2016,7,Никитин Тимур,#adidasrunhigh #adidasrunning #adidas #run #бег #runner @ Крылатские Холмы https://t.co/n17oPz5F2O,55.756687,37.41862
Wed Jul 06 13:13:48 PDT 2016,7,Никитин Тимур,#adidasrunhigh #adidasrunning #adidas #run #бег #runner #ощутисвойподъем @ Крылатские Холмы https://t.co/3SiFd5w3Q5,55.756687,37.41862
Wed Jul 06 13:12:49 PDT 2016,7,Никитин Тимур,То чувство когда круто и тяжко одновременно))) #adidasrunhigh #adidasrunning #adidas #run #бег… https://t.co/XlWOuUH3fa,55.756687,37.41862
Wed Jul 06 04:45:09 PDT 2016,25,Bear968,Наш двор самый спортивный в мире!!! #баскетбол #футбол #волейбол #бег #ролики #велосипед… https://t.co/XDAbc7lgyL,55.604515,38.098038
Mon Jul 04 21:46:22 PDT 2016,5,Евгения,Улыбнись ты, и это утро улыбнется тебе в ответ⏰  #бегпоутрам #бег #бегкаждыйдень @ Каховка https://t.co/Vs3o7bGYhk,55.65544,37.569885
Mon Jul 04 08:09:22 PDT 2016,77,Елена Павловна,Вот почему я люблю бегать! Многие говорят, что бег очень полезен. Мы не только говорим, но и… https://t.co/xjFcfabQ44,55.65947,37.952084
Mon Jul 04 00:37:14 PDT 2016,96,Andrew Dyachenko,Попробовал себя в триатлоне, потрясающий вид спорта: плавание, велосипед, бег и все сразу! Еще… https://t.co/8wkURfZcXs,55.429707,38.27194
Sun Jul 03 21:30:12 PDT 2016,4803,kormeev,#кормеев365 2️⃣4️⃣8️⃣ День обещает быть горячим, погода нагревается уже с самого утра ☀️🌳 Бег в удовольствие ☺️🏃🏼 https://t.co/san7wzC5jZ,55.783386,37.478146
Mon Jul 11 12:35:22 PDT 2016,208,Reshetnikova Tatiana,Вечерняя пробежка 🏃🏻 (@ Гольяновский пруд in Москва) https://t.co/Y2pyKWVsas,55.821274,37.805843
Sat Jul 09 03:56:15 PDT 2016,111,Vladimir Beroev,#db_побегушки 600-ая пробежка. Бег. 6,06 км. 37,42 мин. 09. 07. 2016. Суббота. И вот уже… https://t.co/lj1SaK7AcL,56.1667,37.5167
Thu Jul 07 11:38:26 PDT 2016,79,Obolkina Tatiana,Бегали сегодня под дождем по набережной😃 моя первая пробежка с громом и молнией⚡ https://t.co/lK4Jc0XRXG,55.67877,37.563877
Thu Jul 07 02:37:25 PDT 2016,111,Vladimir Beroev,#db_побегушки 599-ая пробежка. Бег. 6,16 км. 36,04 мин. 07. 07. 2016. Четверг. Ничего сегодня не… https://t.co/ByE5K44Dyn,55.77722,37.789444
Wed Jul 06 21:52:44 PDT 2016,55,Роман Овчинников,Отличная, очередная, 2,5км, утренняя #пробежка на территории #hiltongardeninn #доброеутро @… https://t.co/mukuYdBxov,55.88773,36.72279
Wed Jul 06 05:57:57 PDT 2016,40,Dmitriy Bryantcev,Люблю палящее солнце и холодный ветер! Идеальные условия для тренировок!😜 Пробежка вокруг… https://t.co/kNV0N7cgQ7,55.47412,37.54464
Sun Jul 10 12:12:14 PDT 2016,9,Дмитрий Сычев,🚴🏻🚴🏻🚴🏻 #russia #moscow #moments  #stravaphoto #strava #shimanoxtr #shimano #тренировка… https://t.co/7ojLtnmJK4,55.7522,37.6156
Sun Jul 10 12:11:37 PDT 2016,9,Дмитрий Сычев,😎☺️ #russia #moscow #moments  #stravaphoto #strava #shimanoxtr #shimano #тренировка… https://t.co/5UdRfoioDu,55.7522,37.6156
Wed Jul 06 13:37:51 PDT 2016,9,Дмитрий Сычев,🚴🏻🚴🏻🚴🏻 #russia #moscow #moments  #stravaphoto #strava #shimanoxtr #shimano #тренировка… https://t.co/LLHzHjzNCr,55.713013,37.464005
Tue Jul 05 11:37:10 PDT 2016,9,Дмитрий Сычев,🚴🏻🚴🏻🚴🏻 #russia #moscow #moments  #stravaphoto #strava #shimanoxtr #shimano #тренировка… https://t.co/q0EfQZ9ack,55.737022,37.64712
Sat Jul 09 07:46:32 PDT 2016,307,ALISA TOLKACHEVA,moreon_spa #moreonspa #еслинетморя #настроение #денькрасоты #здоровье #детокс #9баньнавыбор… https://t.co/4GEMJ20WuQ,55.5972,37.52705
Sat Jul 09 04:54:40 PDT 2016,5,Mc Amore,Ваше здоровье 😝#moscow #summer @ Яхт–клуб Адмирал https://t.co/CR2WZf50Eu,55.97084,37.53771
Sat Jul 09 02:21:44 PDT 2016,307,ALISA TOLKACHEVA,Кто куда а я на море moreon_spa #9баньнавыбор #джакузи #массажи #здоровье #красота #отдых… https://t.co/LDgFGQyM48,55.5972,37.52705
Sat Jul 09 01:09:11 PDT 2016,45,Tina Lain,Здоровье никак не хочет восстанавливаться: концерты, ночные репетиции.... в общем, нужен отдых)… https://t.co/jNnm8yN22c,55.917477,38.131126
Fri Jul 08 05:52:01 PDT 2016,11,Borodin,Johnson & Johnson мы заботимся о вас и о вашем здоровье! А я заботился о Вашем настроении… https://t.co/JuAtZgXx9j,55.825294,38.15198
Thu Jul 07 11:38:37 PDT 2016,82,Анастасия Зуева,-смысл быть с кем то если ты гулящий?Будь свободным и гуляй на здоровье. -я вот не гулящий.Потому что я ленивый!,55.750256,37.578136
Thu Jul 07 09:28:32 PDT 2016,42229,Василий Конов (40+),Ваше здоровье! @ Ерик рыжий https://t.co/D8fSK9AOmL,55.7472,37.585804
Mon Jul 04 08:47:21 PDT 2016,483,Твиттер «АйКейсес»,Драгоценным может быть время и здоровье! С умными часами Withings Вы сможете контролировать и… https://t.co/ushWZbGWzj,55.742443,37.652733
Mon Jul 04 06:03:55 PDT 2016,8,Ксю,#время течёт... Учусь плавать🏊🏼 #плавание #здоровье #озеро #россия #summer #виккимаус #smile… https://t.co/6j5TVJ86Ea,55.893333,37.46361
Mon Jul 04 01:59:55 PDT 2016,563,tैrúst nõ onê¿'ironm,Ваше здоровье🍹 @ Парк «Сокольники» https://t.co/J6rrmC6Lof,55.794754,37.676197
