date,followers,username,tweet,lat,lon
Tue Jul 12 06:53:34 PDT 2016,576,vlada.banana,I'm at Alex Fitness in Москва https://t.co/Zi7yOkCRxO,55.707935,37.62181
Mon Jul 11 12:21:02 PDT 2016,163,Andrey Gunchenko,😢😢😢 @ Janinn Fitness https://t.co/DyJ0T0gwZo,55.812183,37.381783
Mon Jul 11 09:20:34 PDT 2016,121,Noname,I'm at Alex Fitness in Москва https://t.co/eZbXsNUZep,55.707935,37.62181
Sun Jul 10 13:12:10 PDT 2016,89,Maria Khudyakova,последний денечек, и СВОБОДА 😇🎉🎊 #yesgfs #gymfitnessstudio #byebye 👋👋 @ GYM Fitness Studio https://t.co/UkL0IZ6i83,55.77472,37.68579
Sun Jul 10 09:12:48 PDT 2016,11,Victor,I'm at Fitness One in Московская область https://t.co/AMPv3Mx1MH,55.77393,37.03721
Sun Jul 10 05:08:26 PDT 2016,98,нахуй идите,I'm at Alex Fitness in Москва https://t.co/4Vxmb5iR9D,55.68307,37.663357
Sun Jul 10 02:49:16 PDT 2016,85,Margo Ermolaeva,I'm at Alex Fitness in Москва https://t.co/meKplp5ZwV,55.654808,37.485172
Sat Jul 09 16:11:56 PDT 2016,34,Nina,#curlyfit #curlyfitgirl #fitcurly #fit #fitness #squat #squatgirl #squats #bodyfit #bodyfitness… https://t.co/HnJ6STrVTI,55.7522,37.6156
Tue Jul 05 00:50:35 PDT 2016,115,Anya:*,Сейчас лето и все только начинается !😘 // #instastyle #instafashion #instagramanet #instatag… https://t.co/88uc5tE0oQ,55.7522,37.6156
Tue Jul 05 10:30:44 PDT 2016,1442,the Bobik,Как-то на пати 😈 #party #partytime #partying #fun #happy #instaparty #intagramanet #instatag… https://t.co/0cEpJh925G,55.79008,37.58513
Tue Jul 05 00:50:35 PDT 2016,115,Anya:*,Сейчас лето и все только начинается !😘 // #instastyle #instafashion #instagramanet #instatag… https://t.co/88uc5tE0oQ,55.7522,37.6156
Wed Jul 13 00:51:46 PDT 2016,133,Chris Abrego,🌳 Run it all and the way back 🌳 #ElParque @ Печатники Лакшери Вилладж https://t.co/4ZJUArUUJM,55.7522,37.6156
Tue Jul 12 10:37:29 PDT 2016,75,Vasily Permitin,Йоу, йоу, йоу! Всем кому интересно и кому неинтересно, то вдвойне! Накануне ночного забега… https://t.co/eKyVNm2iS2,55.72353,37.5869
Tue Jul 12 01:10:34 PDT 2016,1236,Роман Павловский,Бегайте по утрам или вечерам, это полезно!) #бег #run #running #зож #лифтолук #бегполезен… https://t.co/svNRW4c6DM,55.7522,37.6156
Tue Jul 12 22:09:21 PDT 2016,7,Pavel Prokofyev,I just finished running 8.74 km in 49m:31s with #Endomondo #endorphins https://t.co/hquhIuEz7O,55.724716,37.47859
Tue Jul 12 11:17:38 PDT 2016,221,Pete,I just finished running 3.06 km in 12m:45s with #Endomondo #endorphins https://t.co/fJm8PY8vT0,55.730427,37.11045
Tue Jul 12 09:22:15 PDT 2016,86,Александр Наумов,I just finished running 3.15 km in 19m:19s with #Endomondo #endorphins https://t.co/mS0Od4cDx5,55.794407,37.547142
Tue Jul 12 09:08:00 PDT 2016,86,Александр Наумов,I just began a running workout using #Endomondo. Peptalk me now @ https://t.co/mS0Od4cDx5,55.79638,37.540062
Tue Jul 12 09:07:15 PDT 2016,209,Павел Харенков,I just finished running 5.47 km in 12m:19s with #Endomondo #endorphins https://t.co/jqdCRcUbZ6,55.14449,37.47633
Tue Jul 12 01:10:34 PDT 2016,1236,Роман Павловский,Бегайте по утрам или вечерам, это полезно!) #бег #run #running #зож #лифтолук #бегполезен… https://t.co/svNRW4c6DM,55.7522,37.6156
Tue Jul 12 01:04:18 PDT 2016,217,KseniaEliseeva,Running University (@ Олимпийский комитет России - @olympic_russia in Moscow, Москва) https://t.co/DVNKH6aV88,55.71445,37.56664
Mon Jul 11 22:26:53 PDT 2016,164,Maxim Bondar,I just finished running 4.59 km in 28m:42s with #Endomondo #endorphins https://t.co/CPsYuZxNMg,55.820652,37.525623
Mon Jul 11 21:54:40 PDT 2016,100,P,I was out running 6.11 km with #Endomondo #endorphins https://t.co/H8UN05dSHb,56.024796,37.491096
Mon Jul 11 20:43:24 PDT 2016,2,Irina,I just finished running 3.11 km in 18m:39s with #Endomondo #endorphins https://t.co/5yzFLZAnm2,55.710415,37.58871
Mon Jul 11 14:02:31 PDT 2016,347,a_udalov,I just finished running 10.34 km in 53m:01s with #Endomondo #endorphins https://t.co/U1ovnXXKCZ,55.84067,37.439083
Mon Jul 11 10:48:54 PDT 2016,15,Акимов Алексей,I just finished running 5.36 km in 42m:11s with #Endomondo #endorphins https://t.co/mnNaGgRoAo,55.43423,37.54051
Mon Jul 11 05:13:55 PDT 2016,86,Александр Наумов,I just finished running 2.24 km in 12m:31s with #Endomondo #endorphins https://t.co/hU2ZA4owtk,55.794395,37.547153
Mon Jul 11 05:04:33 PDT 2016,86,Александр Наумов,I just began a running workout using #Endomondo. Peptalk me now @ https://t.co/hU2ZA4owtk,55.796562,37.539303
Sun Jul 10 22:33:15 PDT 2016,16091,Dinara Safina,Running done ✅ Bags are packed🛄 ✈️ to #newyork  #icreatemyself #running #run #goodmorning… https://t.co/Qq92zmbuUN,55.73981,37.608646
Wed Jul 06 13:17:11 PDT 2016,7,Никитин Тимур,#adidasrunhigh #adidasrunning #adidas #run #бег #runner #ощутисвойподъем #loverun @ Крылатские… https://t.co/NAIYZSiwpz,55.756687,37.41862
Wed Jul 06 13:16:19 PDT 2016,7,Никитин Тимур,#adidasrunhigh #adidasrunning #adidas #run #бег #runner #ощутисвойподъем @ Крылатские Холмы https://t.co/BA6k5JCUxU,55.756687,37.41862
Wed Jul 06 13:15:45 PDT 2016,7,Никитин Тимур,#adidasrunhigh #adidasrunning #adidas #run #бег #runner #ощутисвойподъем @ Крылатские Холмы https://t.co/YeeitfYB9K,55.756687,37.41862
Wed Jul 06 13:15:07 PDT 2016,7,Никитин Тимур,#adidasrunhigh #adidasrunning #adidas #run #бег #runner #ощутисвойподъем @ Крылатские Холмы https://t.co/7Pb5W3U6FQ,55.756687,37.41862
Wed Jul 06 13:14:32 PDT 2016,7,Никитин Тимур,#adidasrunhigh #adidasrunning #adidas #run #бег #runner @ Крылатские Холмы https://t.co/n17oPz5F2O,55.756687,37.41862
Wed Jul 06 13:13:48 PDT 2016,7,Никитин Тимур,#adidasrunhigh #adidasrunning #adidas #run #бег #runner #ощутисвойподъем @ Крылатские Холмы https://t.co/3SiFd5w3Q5,55.756687,37.41862
Sat Jul 09 23:19:04 PDT 2016,117,alin,I'm at SVO runway in Химки, Московская обл. https://t.co/JPq13Q7lU4,55.97226,37.413254
