date,followers,username,tweet,lat,lon
Mon Jul 11 14:21:34 PDT 2016,39,Daria,🌃#vsco #vscocam #night #tbt #moscow #lights #city #mymoscow #summer #summer2016 #goodtime #walk… https://t.co/FWuyKAW1lQ,55.743332,37.60889
Sun Jul 10 07:33:45 PDT 2016,16,Denis Zakharov,Go walk!!!  #москва #мск #vsco #vscocam #vscomoscow #vscorussia #summer #summertime #dzph… https://t.co/mtKBdpQClN,55.737225,37.60779
Wed Jul 06 06:02:50 PDT 2016,3,Alena Pinevskaya,#Moscow #centre #walk #evening #bridge #Москва #центр #патриаршиймост #вечер #мост @ Patriarshy… https://t.co/G7lKeJ3bM4,55.743332,37.60889
Mon Jul 04 10:10:37 PDT 2016,3,Alena Pinevskaya,I got 99 problems. #Moscow #bridge #sunset #evening #park #parkgorkogo #music #walk #clouds #sky… https://t.co/PVAhZ8EyYr,55.750675,37.60993
Thu Jul 07 12:36:44 PDT 2016,457,Elena Vasilieva,when home really feels like home @ Russia https://t.co/2teyhTY3lO,55.75,37.61667
Wed Jul 06 02:45:14 PDT 2016,83,Igor Kazakov,Work in progress. Автор новой обложки BoscoMagazine - Георгий Тотибадзе. 1 сентября в магазинах… https://t.co/S8CNOTyE7F,55.742287,37.609722
Mon Jul 04 23:52:46 PDT 2016,24,BUYSERVER.RU,Sale of the network equipment , servers and accessories . We work all over Russia , as well as… https://t.co/asuFNdNwRt,55.75,37.61667
Tue Jul 12 11:09:28 PDT 2016,30045,Лена Громова,#evening #instagood #instalike #like #sky #summer #закат #фиолетовый #безфильтра #вечер @… https://t.co/ZOO5nXtSlM,55.74227,37.613937
Tue Jul 12 05:17:21 PDT 2016,225,medvedew vl.,Долго думал какую фотографию приурочить к 10k. Чтобы это не выглядело просто) Вот она 👆это пять… https://t.co/PctVzJgP5y,55.740078,37.609432
Tue Jul 12 00:14:52 PDT 2016,313,Sveta B.,Идеальное утро!  #strelka#ясоздаюсебя#heretocreate#acroyoga#adidas#адидас @ Strelka Institute… https://t.co/oD5aQRqa3c,55.74226,37.60954
Mon Jul 11 12:39:17 PDT 2016,1590,Real X Skye1,#Repost @katkovalchyk with repostapp ・・・ Your life is your #thoughts. #Believe. 😁😊😎✨😘✌️ @ Russia https://t.co/IDoO3sUVR3,55.75,37.61667
Sun Jul 10 12:01:42 PDT 2016,23,dasha conovalova,Мой самый деловой 👼🏼💞👼🏼 #baby#love#family#vsco#ifi#instalike#godchild#my#life @ Russia https://t.co/WoVYdMo8Xi,55.75,37.61667
Wed Jul 06 20:13:40 PDT 2016,395,João Pedro,Sometimes in the life we have to change your ways, sometimes is, just a jump off the things you… https://t.co/eYN7Qt0L0B,55.75,37.61667
Mon Jul 04 10:51:49 PDT 2016,225,medvedew vl.,#chateaudefantomas #medvedewme #time #vsco #vscocam #vscorussia #moscow #party @ Chateau De… https://t.co/uTWtD9XhaH,55.740078,37.609432
Tue Jul 05 02:22:40 PDT 2016,28,NCLnnR.,☁️☀️ #travel #traveling #vacation #visiting  #trip #holiday #photooftheday #fun #travelling… https://t.co/YlKDeoX4gf,55.75,37.61667
