date,followers,username,tweet,lat,lon
Tue Jul 12 11:03:48 PDT 2016,112,Pavel Prikhodko,Первое место в туристической программе - Кремль 🏰 First place in the tourist program - the… https://t.co/4JzuHMEFNB,55.7547,37.62143
Sun Jul 10 13:20:51 PDT 2016,211,Chef Michelle,Playing tourist today #redsquare @ Red Square, Moscow (Красная площадь, Москва) https://t.co/5MxUxS2R7H,55.7547,37.62143
Thu Jul 07 08:08:18 PDT 2016,252,Töm ZÏngstër,The #Beauty of The Red Square #moscow #moskau #tourist #russia @ Red Square https://t.co/dsNTZy5qqs,55.75531,37.61782
Wed Jul 06 11:17:14 PDT 2016,40,marvYnBoatswain,After full day of lecturing, taking some time out to tourist around #Moscow City. @ Gorky Park… https://t.co/n316TqowcM,55.73117,37.6032
Tue Jul 12 12:48:21 PDT 2016,58,Nina Smolnikova,"Best wishes..."📬📝 It's sooo cool to get a signed photo from a star! After a shitty week this is… https://t.co/8q6BYcNmg4,55.7522,37.6156
Thu Jul 07 19:42:48 PDT 2016,66,Samson_Moi,•back to back• #travel #traveling #TFLers #vacation #visiting #instatravel #instago #instagood… https://t.co/NjC6G3X1LQ,55.40861,37.906113
Tue Jul 05 05:58:15 PDT 2016,122,skaynastya,кря🌏 #travel#vacation#visiting#holiday#sun#tourism#traveling#mytravelgramanimal#bird#water#river#… https://t.co/NMq0vvAYJ5,56.30929,38.13381
Tue Jul 05 02:22:40 PDT 2016,28,NCLnnR.,☁️☀️ #travel #traveling #vacation #visiting  #trip #holiday #photooftheday #fun #travelling… https://t.co/YlKDeoX4gf,55.75,37.61667
Tue Jul 12 14:35:42 PDT 2016,47,Ann,Amazing 😌 #vsco #vscogood #vscocam #river #summer #supsurf @ Ангстрем, Зеленоград https://t.co/SAPfzLdlZl,55.978245,37.161392
Tue Jul 12 06:32:10 PDT 2016,480,Kosma Solarius,On the beach at Moscow river. Seems like a perfect done for a gong event) @ Moscow, Russia https://t.co/imQpHIJ14v,55.7522,37.6156
Tue Jul 12 03:26:03 PDT 2016,82,Daria Iva,Beautiful day next to the Moscow-river @ Музеон Парк Искусств https://t.co/2IDBKRmniR,55.73628,37.6075
Tue Jul 12 02:43:48 PDT 2016,48,Екатерина Урядко,I'm at Москва-река / Moscow River in Москва https://t.co/BdNXodfkw9,55.746914,37.640068
Mon Jul 11 23:50:42 PDT 2016,194,Ekaterina,#мыбылисчастливы #wewerehappy #river #embankment #река #набережная #граффити #graffiti… https://t.co/Aj3ossdhlc,55.74791,37.548546
Mon Jul 11 21:35:39 PDT 2016,9566,CrisG®,#WakeUp #moscow #russia #friend #bridge #river #moments #canon #mex #fromrussiawithlove #blondie… https://t.co/0lrJZHyGuY,55.7522,37.6156
Mon Jul 11 04:27:33 PDT 2016,47,Ekaterina Selyukova,🌳🌞  #отдых#лето#жара#солнце#речка#нравится#отдыхаем#хорошо#гопро#summer#likes#river#relax#июль#to… https://t.co/13KyviuGgw,55.7522,37.6156
Sun Jul 10 22:19:24 PDT 2016,77,Leandro S,Moskov by night  #sunset #river #moscow #beautiful #река #москва… https://t.co/MLaAp2BTJz,55.729813,37.60082
Sun Jul 10 14:40:02 PDT 2016,83,ᎠᏆᎪᎡY ᎾF ᎪᏞᎬX,Когда нет денег на путешествия, приходиться выкручиваться 📸🏝 @ Nara River https://t.co/GrStdsY6YK,54.883335,37.416668
Sun Jul 10 06:48:13 PDT 2016,142,barhatov.com,Moscow. View of the Kremlin and Moscow-River, from the Great Stone Bridge com.tmshv.agents.core.Camera: Canon EOS… https://t.co/5ZzzSNdisQ,55.746666,37.61222
Sun Jul 10 05:58:44 PDT 2016,322,Don Craig,I'm at Москва-река / Moscow River in Москва https://t.co/m6joaQCFYK,55.746914,37.640068
Sun Jul 10 04:00:50 PDT 2016,110,Yaroslav Rymsho,I'm at Москва-река / Moscow River in Москва https://t.co/ykFPLwbfRx,55.746914,37.640068
Sat Jul 09 09:03:09 PDT 2016,71,Daria Ukruzhskaya,Хороший день ☺️⛴ #москва #рамн #moscow#russia #river #sky @ Gorky Park (Moscow) https://t.co/Crs3CTz72T,55.73117,37.6032
Sat Jul 09 04:03:31 PDT 2016,285,Denis Filonov,Moscow river. #москва #река #river #moscow @ Набережная Воробьевых Гор https://t.co/uhp6f4TbaD,55.726616,37.54255
Sat Jul 09 02:37:53 PDT 2016,17,calain,Morning run along the Moskva River - taking it an an easy 7km and pace just to clear the alcohol… https://t.co/qPglgzxvZW,55.71925,37.5564
Fri Jul 08 12:06:21 PDT 2016,133,Aleksey Makeev,#Moscow #Russia #summer #july #sunset #citylife #park #river #nature #vsco #instalike #sony… https://t.co/PX8fxOJbz3,55.73559,37.454826
Fri Jul 08 11:27:11 PDT 2016,77,Leandro S,Sightseeing from the boat  #niceview #cremlin #river #moskov… https://t.co/iE14V8Dk9t,55.75491,37.617207
Tue Jul 12 11:55:24 PDT 2016,132,Elena Lester,You're perfect.  #moscow #russia #sunset #bridge #summertime #july #vsco #vscocam #vscomoscow… https://t.co/AiuTnKQJ3j,55.743332,37.60889
Tue Jul 12 11:40:30 PDT 2016,1530,Денис Комилавочников,Летние закаты – это что-то невероятное ☀️ @ Patriarshy Bridge https://t.co/Aw0Rw9INHl,55.743332,37.60889
Tue Jul 12 02:50:13 PDT 2016,56,Ksenia Kovalenko,#вечер #атмосфера #архивы #ялюблюмоскву #безфильтра #nofilter @ Patriarshy Bridge https://t.co/Ec45uqMA7c,55.743332,37.60889
Mon Jul 11 22:53:39 PDT 2016,820,Anton Kuznetsov,😊 @ Bolshoy Moskvoretsky Bridge https://t.co/qXB8a1lTxH,55.74917,37.624443
Mon Jul 11 21:35:39 PDT 2016,9566,CrisG®,#WakeUp #moscow #russia #friend #bridge #river #moments #canon #mex #fromrussiawithlove #blondie… https://t.co/0lrJZHyGuY,55.7522,37.6156
Mon Jul 11 13:44:08 PDT 2016,922,R U MINE?,💥💥💥 @ Patriarshy Bridge https://t.co/SER5kvOU7x,55.743332,37.60889
Mon Jul 11 07:07:33 PDT 2016,2498,Yanchel,Бьютифул🌇 @ Patriarshy Bridge https://t.co/vEp8C9gM1Y,55.743332,37.60889
Mon Jul 11 03:09:01 PDT 2016,154,Glav4eg,#vsco #vscocam #vscorussia #girl #moscow #москва #bridge #wind #people_sp @ Берсеневская Наб. https://t.co/VCfHhp24QC,55.74364,37.6096
Sun Jul 10 13:30:28 PDT 2016,163,irishqa,I'm at Patriarshiy Bridge in Москва https://t.co/JMhf2jicfP,55.743443,37.60854
Sun Jul 10 12:28:16 PDT 2016,154,Glav4eg,#vsco #vscocam #vscorussia #girl #moscow #москва #bridge @ Берсеневская Наб. https://t.co/5S4aPT6obv,55.74364,37.6096
Sun Jul 10 10:09:46 PDT 2016,154,Glav4eg,#vscocam #vsco #vscorussia #girl #people_sp #moscow #москва #bridge #smile #jump #run #wind @… https://t.co/dhrMLU1hZO,55.74364,37.6096
Sun Jul 10 06:48:13 PDT 2016,142,barhatov.com,Moscow. View of the Kremlin and Moscow-River, from the Great Stone Bridge com.tmshv.agents.core.Camera: Canon EOS… https://t.co/5ZzzSNdisQ,55.746666,37.61222
Sat Jul 09 14:42:21 PDT 2016,154,Glav4eg,#vsco #vscocam #vscorussia #girl #moscow #москва #bridge @ Берсеневская Наб. https://t.co/I6PlAD90zh,55.74364,37.6096
Sat Jul 09 13:58:08 PDT 2016,808,Dariya Shubina,Как ни странно звучит, но замечательная песня under the bridge… https://t.co/5zuNLilmlb,55.818005,37.44066
Sat Jul 09 13:35:52 PDT 2016,266,konstantino99,Bridge for lovers @ Tretyakov Gallery https://t.co/eAQms2K3pQ,55.74139,37.620277
Sat Jul 09 12:20:45 PDT 2016,2344,Михалицын,#prisma @ Bolshoy Moskvoretsky Bridge https://t.co/vDdVnRKoow,55.74917,37.624443
Sat Jul 09 10:17:30 PDT 2016,164,Егор,Just posted a photo @ Patriarshy Bridge https://t.co/oLFk7KsMvS,55.743332,37.60889
Sat Jul 09 08:55:36 PDT 2016,284,Олена,Облака сегодня совсем рядом 😍 @ Zhivopisny Bridge https://t.co/nO2k3znkoP,55.77639,37.443054
Sat Jul 09 08:31:14 PDT 2016,179,Илья Шаф,Looks like there is a lil bit of hip hop under the bridge...#Moscow #graffiti #breakdance… https://t.co/GYUM4EGMyH,55.73628,37.6075
Sat Jul 09 03:29:38 PDT 2016,154,Glav4eg,#vsco #vscocam #vscorussia #girl #moscow #москва #bridge #people_sp @ Берсеневская Наб. https://t.co/Z8Bi6WhpPU,55.74364,37.6096
Fri Jul 08 12:17:28 PDT 2016,4204,Не вариант.,🌿 @ Patriarshy Bridge https://t.co/vC1TFCD3QF,55.743332,37.60889
Fri Jul 08 05:24:45 PDT 2016,332,Omar Bk عمر بن خديه,mOscOw by day ! why nOt ? #mymoscow #omarbk #whynOt @ Patriarshy Bridge https://t.co/ql16IQPL6z,55.743332,37.60889
Fri Jul 08 02:14:07 PDT 2016,85,V A L E R Y ☀️,Just posted a photo @ Patriarshy Bridge https://t.co/lXn85uUDCQ,55.743332,37.60889
Fri Jul 08 00:05:40 PDT 2016,138,Павел Кочетов,Вчерашний вече #cloud #clouds #bridge #road #evening #cars #car #traffic #iphone #iphonephoto… https://t.co/jxVBH6uvA6,55.77639,37.443054
Thu Jul 07 14:01:55 PDT 2016,154,Glav4eg,#vscocam #vsco #vscorussia #girl #moscow #москва #wind #bridge #people_sp @ Берсеневская Наб. https://t.co/KgqON6AMey,55.74364,37.6096
Thu Jul 07 11:03:15 PDT 2016,78,безымянный подросток,моя❤️ @ Под Мостом / Under The Bridge https://t.co/9UUaLg7ugh,55.713863,37.5637
Thu Jul 07 10:53:54 PDT 2016,262,Anna Geletiy,Снова небо над Москвой поражает красотой😍☝🏼️ #моямосква @ Bolshoy Kamenny Bridge https://t.co/NkqnzI2GCb,55.746666,37.61222
Thu Jul 07 10:41:24 PDT 2016,149,Rena Rock,Dejamos nuestro candado 💖💏🔒 @ Luzhkov Bridge https://t.co/WfFTgWZCyC,55.739048,37.618027
Thu Jul 07 09:42:53 PDT 2016,456,Margrét Sergesdóttir,Топимся (@ Новоспасский мост / Novospassky Bridge in Москва, Россия) https://t.co/EsoakoNbki,55.72878,37.654118
Mon Jul 04 14:06:07 PDT 2016,188,Alex,Sight, 2016  You can see my portfolio here: https://t.co/oxUT7X0197  #streetbwcolor… https://t.co/f3hjKGmVE3,55.74168,37.59878
Tue Jul 12 11:46:34 PDT 2016,1149410,Victoria Daineko,Мама Вика устала😴 MommyV is tired. What an awesome day it was. #ятольколучше #nikewomen @ Rocky… https://t.co/Bj8epRbFxK,55.750206,37.558918
Tue Jul 12 11:29:46 PDT 2016,956,Mau? Mau!,This is fuckin awesome 💥#russia #moscow #macklemore #macklemoreandryanlewis #thriftshop… https://t.co/dXvdvtemZa,55.72022,37.55588
Tue Jul 12 04:08:07 PDT 2016,936,Lael Goldberg,Lastochka you rocked!!! 🤘🏻 Thanks to @_lukeavery for the awesome picture #fender #mesaboogie… https://t.co/wA9jaB15JT,55.7522,37.6156
Mon Jul 11 12:29:22 PDT 2016,15,Мike,Спасибо! 🙌🏻 Завтра трансляция в 9:00 и в 21:00 по Мск 🚨 #bigolive #live #life #amazing #awesome… https://t.co/oN0Vh0vEQQ,55.7522,37.6156
Mon Jul 11 03:34:14 PDT 2016,2433,Talita,#Privet from #Moscow #RedSquare - this is AWESOME @ Red Square, Moscow (Красная площадь, Москва) https://t.co/k2M1xW5mdT,55.7547,37.62143
Sun Jul 10 14:08:30 PDT 2016,60,Irina Salamanca,/ This is fucking awesome / Сегодня я только отошла от вчерашнего, потому что это было волшебно,… https://t.co/1LlGKhDZiE,55.71583,37.55361
Sun Jul 10 13:26:00 PDT 2016,192,Кукитман,THIS IS FCKNG AWESOME #Repost skoheaven with repostapp ・・・ Не говори, что не знаешь эту песню.… https://t.co/dGUD6qDfGM,55.71583,37.55361
Sun Jul 10 13:23:36 PDT 2016,754,Lada S. Eliseeva,This adidas design concept is awesome! Private feelings! 😍 #LadaEliseeva @ Moscow, Russia https://t.co/aYaYyxehyX,55.7522,37.6156
Sun Jul 10 00:43:07 PDT 2016,506,Zoe,@NBThieves you guys were so awesome 💙 thanks! Come back to Russia 😉,55.784138,37.475124
Sat Jul 09 16:15:02 PDT 2016,73,Gam || 4LH || Drum,THIS IS FCKN AWESOME! ✊#macklemore #lastochka #popfarm @ Лужники, Москва https://t.co/YMJ2IFaALr,55.810173,37.7049
Sat Jul 09 14:39:01 PDT 2016,110,Yaroslav Rymsho,RHCP ПРОСТО БОМБИЧЕСКИЕ!!! #фанзона #rhcp #parklive #crazy #red #hot #chili #peppers #awesome… https://t.co/ytzY9uwMiI,55.817825,37.44029
Sat Jul 09 13:51:58 PDT 2016,100,Александра Петрикова,09.07.2016. Macklemore & Ryan Lewis. Ласточка. Лужники. It's fucking awesome show. I'm very… https://t.co/ar7aSL2jv3,55.72022,37.55588
Sat Jul 09 13:21:33 PDT 2016,123,ээсти пальма,THIS WAS FUCKING AWESOME @ Олимпийский комплекс "Лужники"/Luzhniki Olympic Complex https://t.co/SoRfAtdVYK,55.71794,37.549965
Sat Jul 09 11:50:51 PDT 2016,866,Matt Marsh,Awesome feeling to meet the greatest golfer of all time today, discussing his finest moments on… https://t.co/cTw4s1QJ7s,55.69388,37.381756
Sat Jul 09 04:45:36 PDT 2016,71,Anastasie Vitt,SO AWESOME GUYS 💘 @ Moscow, Russia https://t.co/AUE5oecCP0,55.7522,37.6156
