x,y,z
-13846.78301297167,-66357.2229901,8810.924996803482
-11624.37405528166,-89911.1900101116,6604.150814105533
-166274.8596751732,-22320.56593520245,13294.1479265744
-84266.08799218372,-60090.60663100481,18244.04711418044
-102821.8986383354,-1197.97186925914,26412.34912633415
-111713.7786941055,-86021.16642428546,7805.25390625
-115149.0152150762,2220.128295949704,46391.36328125
-154984.8671092231,-101586.8116228467,6382.611913762524
-29118.85838254852,-107001.7775932136,1777.755493164063
-160433.2725420609,-6869.275118799696,38194.23692798209
-28816.39441073604,-4967.039792757373,6690.667490802867
-97726.63339161844,-68006.68623128925,23402.69140625
-43563.73589988235,-81593.18167143766,1777.755493164063
-174345.7453406965,-5684.3498778261,8951.637571453655
-156558.5401630549,-54065.57015044981,22173.06426920398
-63307.80742992452,-126016.6379838399,1777.755493164063
-146111.9267816192,-101911.6236361453,6332.7099609375
-102034.0686325701,-37675.50181674731,24636.97824484119
-74130.44468428794,31600.03148459814,6364.141367084987
-130436.1588977379,-56624.9116987321,25812.57261387962
-116979.8484825363,-89144.05756151669,7246.294995163525
-35481.49632746913,-104210.1621664029,9054.964018875271
-132559.0027426042,-78076.44598610784,23649.73970569042
-120320.5561398156,7222.734118992546,33937.88984207863
-188767.5700915565,-74422.58819279136,23488.59317663219
-84731.67862282919,-58939.05110237013,20305.59082895544
-146625.698208667,-71020.55731837996,21914.09834073353
-144775.1914820605,-59531.42465011388,23416.98318641332
-152071.0141055165,-33268.8183557233,26775.29833816068
-166063.0029463874,-65710.72695880123,23501.64063930445
-95543.9795848677,-51346.78739308449,30482.68507700142
-164293.8341795076,1088.348868669372,28466.36018360152
-73309.30620049675,-49655.49609403785,7252.049061532402
-121674.3239260108,-115639.5747760956,6084.20042272923
-122944.0674784822,-50983.22222710748,31703.17499968889
-131171.6655858393,-19371.57779549406,49027.6323301204
-47987.52789419019,-80793.61828402584,8571.486888767828
-113752.3726591705,-22122.53021937208,7861.071885718637
-99434.42051350902,-57546.83803709273,30299.5677018789
-73402.65734486084,-114978.099928397,1777.755493164063
-123060.4927997438,-8458.483740372678,29265.25385723787
-157880.8717651435,-44469.01080639803,28867.83761449893
-131126.6115793593,-92612.64200721041,6331.339266586508
-132965.1808004319,-65540.5533942169,20717.82985050818
-76036.64229804394,-16805.11862708354,6544.927295060523
-119948.6886021797,-115192.8869273577,3838.473355730287
-127767.7558701046,-22053.20269688349,40022.17206816425
-111096.3610066013,-70502.15639268863,30499.015625
-86776.82152758367,-77648.83111762679,6359.680435326826
-45987.5844398887,-66341.75706802655,8042.959862994754
-19074.42947939072,-31214.08484270667,7279.207419702543
-25263.29438406818,-48497.70747181849,7805.55312372383
-38060.04669314792,-75256.72587228174,8387.485437080968
-58173.87465216716,33146.2946242987,6304.650855364476
-107646.5320285316,-71697.96974833254,28101.60546875
-151140.1120050548,-22081.00168283005,25551.56528511741
-78918.72917849515,-56064.3059437392,17241.84569303229
-168721.7359621552,-62447.74449496638,28564.76170783004
-31334.86905703318,-61332.03983611174,8221.433478319683
-47897.18722963301,-121035.6489420456,1777.755493164062
-122494.5235218776,-51857.98765207444,33034.21945926896
-91797.48981549399,-10268.75035827738,6420.623077471019
-76468.47982892439,-81523.20862453539,5630.869094831458
-187712.242043615,-1415.499509374411,6440.94873046875
-171879.0311706852,-10768.88624076965,38142.90565658134
-117009.6340233493,-5522.974580544384,27520.91529200209
-45221.87609488684,-35005.03798242963,7421.322509876719
-126736.8415644119,17270.05309392428,6440.94873046875
-85265.43246653389,-31649.07832045125,10621.24123337906
-67954.67554869286,-130452.7823984664,1777.755493164063
-114661.1162537872,-99980.28993581032,6126.756874265837
-76629.482679968,30671.94271958225,6352.866645141192
-96324.43923544361,-25492.05611659207,6666.650009622204
-153557.865494252,-21041.31178637614,8102.866429756155
-175137.8443273782,-47528.1539384092,19932.82380945707
-107145.3434606204,23125.65708493206,6388.215516077294
-127796.9712986925,-120040.5728374701,6224.737209945368
-117645.4485920649,1708.62453152704,16762.74102100926
-173651.9799595893,-9180.055446745027,6440.94873046875
-47025.28597268512,-43103.21896276277,7591.530027597289
-138037.821925683,-29857.54338188165,15575.886606591
-153332.15094606,-47374.62072727711,26887.75078177446
-97643.91545991568,-29390.05869652347,12024.3459582779
-94475.21201214372,-83283.31151437401,6187.975713552642
-156923.3342676513,-14104.20173268686,44173.02783366819
-94532.03852919483,-28263.66040540958,9269.175266879167
-123263.5163243138,-50361.6078546294,31121.2561774775
-143460.9768344282,-60698.25823128929,23608.79599833736
-117950.5614365092,2337.54533591295,36496.69649682537
-80237.15240948024,-123169.5978717101,1777.755493164063
-75703.9699855089,-57063.74842135687,7329.652224316471
-133225.2853111989,-95571.16780405576,6325.866671766485
-51702.73483675054,-71696.32357503573,3945.000562172289
-82669.01694270989,-77417.99246936431,6429.681259679797
-136541.8238849517,-78444.800533188,20968.728515625
-135896.5527023389,-28818.73073794907,30253.88132931361
-125561.639696926,-52400.59137009044,28510.36012300197
-78324.53529983791,-3042.565536111958,6332.134558100902
-83612.29879650394,-131662.6181222127,1777.755493164063
-153421.0542989631,-30486.02648198605,22786.28984065007
-102410.6122847055,-12573.39694475214,14271.76998235736
-12962.08299900038,-71447.91580688072,1777.755493164063
